expiry,stock,earnings_date,type,strike,sd,gatherdate,stk_price,lastprice,change,percentchange,volume,openinterest,impliedvolatility,lastprice_chg,lastprice_avg_30d,pct_chg,iv_chg,iv_avg_30d,iv_avg_all,vol_chg,oi_chg,flag,amnt,moneyness,voi,be,em,empct
2024-08-30,LI,2024-08-06,Call,22.0,2,2024-07-31 14:15:49,19.75,0.5,0.0,0.0,10,33,0.6562534375000001,-0.040000000000000036,0.8591666666666667,-7.407407407407414,-0.005859316406250037,0.652143778076172,0.652143778076172,4.0,0.0,0,0,1.1139240506329113,0.30303030303030304,0.13924050632911392,3.01,0.14478481012658226
2024-08-16,LI,2024-08-06,Call,22.0,2,2024-07-31 14:15:49,19.75,0.4,0.13,48.148148,211,2562,0.676761044921875,0.15000000000000002,0.7773333333333333,60.00000000000001,-0.018554501953125024,0.6491083266601564,0.6377748896484376,196.0,-17.0,0,0,1.1139240506329113,0.0823575331772053,0.13417721518987336,3.04,0.14622784810126582
2024-08-23,LI,2024-08-06,Call,22.0,2,2024-07-31 14:15:49,19.75,0.6,0.21000004,53.846165,1,231,0.6816438085937502,0.20999999999999996,0.9683333333333333,53.84615384615383,0.0,0.6575283813476562,0.6575283813476562,-19.0,20.0,0,0,1.1139240506329113,0.004329004329004329,0.1443037974683545,3.2300000000000004,0.15536708860759496
2025-02-21,RUN,2024-08-06,Put,14.0,2,2024-07-31 14:15:57,17.62,2.43,0.0,0.0,21,0,1.021489267578125,0.0,2.4730769230769236,0.0,0.19238599609375018,0.8272820179161658,0.8272820179161658,0.0,0.0,0,0,0.7945516458569807,inf,-0.34335981838819524,6.65,0.35854143019296253
2024-08-09,RUN,2024-08-06,Put,16.0,1,2024-07-31 14:15:57,17.62,0.62,-0.20999998,-25.301203,149,466,1.19922275390625,-0.19999999999999996,0.9946153846153846,-24.39024390243902,0.12695249023437483,0.9914380682842547,0.9914380682842547,46.0,84.0,0,0,0.9080590238365494,0.3197424892703863,-0.1271282633371169,2.98,0.16066969353007945
2025-02-21,RUN,2024-08-06,Put,16.0,1,2024-07-31 14:15:57,17.62,3.4,0.0,0.0,1,501,0.8002949658203125,0.0,4.031818181818182,0.0,-0.003662072753906287,0.7811634099786933,0.7811634099786933,0.0,0.0,0,0,0.9080590238365494,0.001996007984031936,-0.28490351872871744,6.65,0.35854143019296253
2025-02-21,RUN,2024-08-06,Call,19.0,1,2024-07-31 14:15:57,17.62,3.8,0.0,0.0,1,2,0.8989267919921874,0.0,3.852307692307692,0.0,0.01757794921875,0.8684470787635216,0.8684470787635216,0.0,0.0,0,0,1.0783200908059023,0.5,0.2939841089670828,6.65,0.35854143019296253
2024-08-09,RUN,2024-08-06,Call,19.0,1,2024-07-31 14:15:57,17.62,0.78,0.14999998,23.80952,33,226,1.1709025830078126,0.21000000000000008,0.7322222222222222,36.84210526315791,0.03027328613281255,1.0105814629448784,1.0105814629448784,-66.0,85.0,0,0,1.0783200908059023,0.14601769911504425,0.12258796821793416,2.98,0.16066969353007945
2024-08-02,TSN,2024-08-05,Put,60.0,1,2024-07-31 14:16:04,61.27,0.1,-0.1,-50.0,72,102,0.7685570019531252,-0.1,0.5944444444444444,-50.0,0.5410102148437501,0.275940400390625,0.275940400390625,51.0,16.0,0,0,0.9792720744246776,0.7058823529411765,-0.022360045699363545,1.5,0.02325771176758609
2024-08-30,ROKU,2024-08-01,Put,49.0,1,2024-07-31 14:16:11,58.01,1.61,0.0,0.0,3,19,0.7695335546875001,0.0,1.2758333333333334,0.0,-0.07836835693359367,0.7481511187744142,0.7481511187744142,0.0,0.0,0,0,0.8446819513876918,0.15789473684210525,-0.18307188415790376,11.42,0.18701947940010344
2024-08-16,ROKU,2024-08-01,Put,49.0,1,2024-07-31 14:16:11,58.01,1.16,-0.30000007,-20.54795,11,118,0.74414318359375,-0.3400000000000001,1.298,-22.66666666666667,-0.22314229980468758,0.88164180859375,0.88164180859375,-53.0,58.0,0,0,0.8446819513876918,0.09322033898305085,-0.1753146009308739,10.82,0.17719358731253232
2024-08-30,OXY,2024-08-07,Put,58.0,2,2024-07-31 14:17:08,61.04,0.6,-0.19999999,-24.999998,9,1595,0.2841868457031249,-0.25,0.6576923076923078,-29.411764705882355,0.03491176025390619,0.2609373786808894,0.2609373786808894,-63.0,97.0,1,25,0.9501965923984272,0.005642633228840125,-0.05963302752293579,4.1899999999999995,0.06521133682830929
2024-08-30,OXY,2024-08-07,Put,59.0,1,2024-07-31 14:17:08,61.04,0.85,-0.25,-22.727272,6,351,0.3425358715820312,-0.30999999999999994,0.9033333333333333,-26.72413793103448,0.09765527343749991,0.25220474365234374,0.25220474365234374,5.0,109.0,1,108,0.9665792922673657,0.017094017094017096,-0.04734600262123199,4.1899999999999995,0.06521133682830929
2024-08-16,OXY,2024-08-07,Put,59.0,1,2024-07-31 14:17:08,61.04,0.61,-0.26999998,-30.681816,9,1009,0.29053443847656246,-0.36,0.852,-37.11340206185567,0.021484160156249987,0.26138433935546873,0.26138433935546873,-161.0,75.0,0,0,0.9665792922673657,0.008919722497522299,-0.04341415465268674,3.34,0.05198230668414154
2024-08-09,OXY,2024-08-07,Put,59.0,1,2024-07-31 14:17:08,61.04,0.45,-0.29000002,-39.18919,180,785,0.32813171874999997,-0.23000000000000004,0.5950000000000001,-33.82352941176471,0.02734347656249997,0.2610615344238281,0.2610615344238281,138.0,49.0,1,7,0.9665792922673657,0.22929936305732485,-0.040792922673656654,3.0700000000000003,0.04778014416775885
2024-08-23,OXY,2024-08-07,Put,59.0,1,2024-07-31 14:17:08,61.04,0.73,-0.26,-26.262627,5,387,0.6079140771484376,-0.3900000000000001,0.8583333333333334,-34.821428571428584,0.3542445043945313,0.26017992431640624,0.26017992431640624,0.0,-57.0,0,0,0.9665792922673657,0.012919896640826873,-0.04538007863695931,3.7199999999999998,0.057896461336828305
2024-08-16,OXY,2024-08-07,Call,62.5,1,2024-07-31 14:17:08,61.04,0.88,0.19,27.536232,150,6721,0.2866282275390625,0.28,1.7776666666666665,46.66666666666667,0.0039062109374999876,0.26502199829101564,0.28261854081513865,103.0,-37.0,0,0,1.0239187418086502,0.022318107424490405,0.03833551769331592,3.34,0.05198230668414154
2024-08-09,OXY,2024-08-07,Call,63.0,1,2024-07-31 14:17:08,61.04,0.5,0.120000005,31.578947,505,2337,0.3305731005859375,0.15000000000000002,0.9888888888888889,42.85714285714287,0.01757794921875,0.2799144274902343,0.2799144274902343,477.0,41.0,1,13,1.0321100917431192,0.2160890029952931,0.04030144167758848,3.0700000000000003,0.04778014416775885
2024-08-30,OXY,2024-08-07,Call,63.0,1,2024-07-31 14:17:08,61.04,1.02,0.13999999,15.909089,25,195,0.28076891113281244,0.12,1.4876923076923076,13.333333333333334,0.0090331127929687,0.27154799973707927,0.27154799973707927,20.0,9.0,1,4,1.0321100917431192,0.1282051282051282,0.04882044560943639,4.1899999999999995,0.06521133682830929
2024-08-23,OXY,2024-08-07,Call,63.0,1,2024-07-31 14:17:08,61.04,0.91,0.22000003,31.884064,72,212,0.28125718749999995,0.21000000000000008,1.2853846153846153,30.00000000000001,0.009765527343749969,0.27293770939753603,0.27293770939753603,45.0,12.0,0,0,1.0321100917431192,0.33962264150943394,0.04701834862385317,3.7199999999999998,0.057896461336828305
2024-08-30,OXY,2024-08-07,Call,64.0,2,2024-07-31 14:17:08,61.04,0.78,0.13999999,21.874998,27,144,0.28076891113281244,0.20000000000000007,1.0783333333333334,34.482758620689665,0.015380705566406194,0.2720002813720703,0.2720002813720703,25.0,15.0,1,13,1.0484927916120577,0.1875,0.06127129750982965,4.1899999999999995,0.06521133682830929
2024-08-09,ABNB,2024-08-06,Put,133.0,2,2024-07-31 14:18:02,140.21,2.92,-0.65999985,-18.435751,2,15,0.6455113574218749,-0.9300000000000002,3.106666666666667,-24.155844155844157,-0.006591730957031361,0.6325720336914062,0.6325720336914062,-3.0,7.0,1,2,0.9485771342985522,0.13333333333333333,-0.07224876970258894,12.65,0.08571071963483345
2026-12-18,ABNB,2024-08-06,Put,135.0,1,2024-07-31 14:18:02,140.21,23.0,0.0,0.0,1,56,0.3326177578735352,0.0,20.536,0.0,0.024718991088867326,0.3106519334259033,0.3326213717611212,0.0,0.0,0,0,0.9628414521075529,0.017857142857142856,-0.20119820269595612,38.9,0.26356893231581197
