expiry,earnings_date,stock,type,sd,strike,stk_price,lastprice,volume,openinterest,voi,be,em,empct
2024-08-09,2024-07-30,spwr,Put,1,0.5,0.83,0.04,329.0,3659.0,0.08991527739819623,-0.4457831325301204,0.62,0.7096385542168675
2024-08-09,2024-07-30,spwr,Put,1,0.5,0.83,0.04,329.0,3659.0,0.08991527739819623,-0.4457831325301204,0.62,0.7096385542168675
2024-08-16,2024-07-30,spwr,Put,1,0.5,0.83,0.07,122.0,6090.0,0.020032840722495896,-0.4819277108433735,0.69,0.7897590361445783
2024-08-16,2024-07-30,spwr,Put,1,0.5,0.83,0.07,122.0,6090.0,0.020032840722495896,-0.4819277108433735,0.69,0.7897590361445783
2024-08-23,2024-07-30,spwr,Put,1,0.5,0.83,0.1,9.0,194.0,0.04639175257731959,-0.5180722891566265,0.8200000000000001,0.93855421686747
2024-08-23,2024-07-30,spwr,Put,1,0.5,0.83,0.1,9.0,194.0,0.04639175257731959,-0.5180722891566265,0.8200000000000001,0.93855421686747
2024-08-23,2024-07-30,spwr,Call,1,1.5,0.83,0.05,50.0,90.0,0.5555555555555556,0.8674698795180724,0.8200000000000001,0.93855421686747
2024-08-23,2024-08-07,oxy,Put,1,57.0,60.12,0.47,1.0,99.0,0.010101010101010102,-0.059713905522288696,4.13,0.06526114437791085
2024-08-23,2024-08-07,oxy,Call,1,63.0,60.12,0.7,27.0,200.0,0.135,0.05954757152361952,4.13,0.06526114437791085
2024-08-09,2024-08-01,x,Put,1,38.0,40.17,0.25,5.0,4.0,1.25,-0.060243963156584555,2.62,0.061961662932536715
2024-08-23,2024-08-01,x,Call,1,41.0,40.17,0.48,1.0,1.0,1.0,0.032611401543440256,1.75,0.0413866069205875
2024-08-23,2024-08-01,x,Call,1,41.0,40.17,0.48,1.0,1.0,1.0,0.032611401543440256,1.75,0.0413866069205875
2024-08-16,2024-08-01,mara,Put,1,17.0,19.94,0.56,124.0,2135.0,0.05807962529274005,-0.17552657973921765,3.73,0.17770812437311934
2024-08-23,2024-08-01,mara,Put,1,17.0,19.94,0.76,8.0,199.0,0.04020100502512563,-0.18555667001003023,4.46,0.21248746238716149
2024-08-23,2024-08-01,mara,Call,1,23.0,19.94,1.08,10.0,450.0,0.022222222222222223,0.2076228686058173,4.46,0.21248746238716149
2024-08-16,2024-08-01,eog,Put,1,123.0,126.23,2.37,,12.0,,-0.04436346351897337,6.25,0.04703715440069714
2024-08-23,2024-08-01,eog,Put,1,123.0,126.23,1.84,,15.0,,-0.04016477857878482,6.800000000000001,0.051176423987958485
2024-08-16,2024-08-01,eog,Call,1,129.0,126.23,2.82,2.0,27.0,0.07407407407407407,0.04428424304840362,6.25,0.04703715440069714
2024-08-23,2024-08-01,eog,Call,1,129.0,126.23,3.1,1.0,4.0,0.25,0.04650241622435229,6.800000000000001,0.051176423987958485
2024-08-16,2024-08-01,clx,Put,1,126.0,131.05,2.65,7.0,65.0,0.1076923076923077,-0.058756199923693374,10.100000000000001,0.07321632964517359
2024-08-23,2024-08-01,clx,Put,1,126.0,131.05,2.55,33.0,33.0,1.0,-0.05799313239221677,10.01,0.07256390690576114
2024-08-16,2024-08-01,clx,Call,1,136.0,131.05,2.85,1.0,20.0,0.05,0.059519267455169646,10.100000000000001,0.07321632964517359
2024-12-20,2024-08-01,k,Put,1,52.5,57.44,1.3,8.0,424.0,0.018867924528301886,-0.10863509749303613,7.529999999999999,0.12453864902506963
2025-01-17,2024-08-01,k,Put,1,52.5,57.44,1.55,4.0,684.0,0.005847953216374269,-0.11298746518105841,8.7,0.1438892757660167
2024-12-20,2024-08-01,k,Call,1,62.5,57.44,1.25,3.0,524.0,0.0057251908396946565,0.1098537604456825,7.529999999999999,0.12453864902506963
2025-01-17,2024-08-01,k,Call,1,62.5,57.44,1.35,4.0,786.0,0.005089058524173028,0.11159470752089143,8.7,0.1438892757660167
2024-08-16,2024-08-07,sony,Put,1,84.0,88.36,1.8,,1.0,,-0.06971480307831594,6.5,0.06988456315074694
2024-08-09,2024-07-30,sofi,Put,1,6.5,7.32,0.07,2359.0,3825.0,0.6167320261437909,-0.12158469945355199,0.96,0.12459016393442622
2024-08-16,2024-07-30,sofi,Put,1,6.5,7.32,0.11,629.0,8564.0,0.07344698738907053,-0.12704918032786894,1.13,0.14665300546448085
2024-08-23,2024-07-30,sofi,Put,1,6.5,7.32,0.13,153.0,1429.0,0.10706787963610917,-0.12978142076502736,1.13,0.14665300546448085
2024-08-23,2024-08-01,open,Call,1,3.0,2.38,0.1,17.0,106.0,0.16037735849056603,0.30252100840336144,0.9299999999999999,0.371218487394958
2024-08-09,2024-08-08,dbx,Put,1,22.0,24.26,0.25,1.0,253.0,0.003952569169960474,-0.10346248969497121,2.67,0.1045548227535037
2024-08-23,2024-08-08,dbx,Put,1,22.0,24.26,0.32,1.0,69.0,0.014492753623188406,-0.10634789777411384,2.92,0.11434460016488046
2024-08-23,2024-08-08,dbx,Call,1,26.0,24.26,0.53,1.0,5.0,0.2,0.09356966199505357,2.92,0.11434460016488046
2024-08-23,2024-08-08,dbx,Call,1,26.0,24.26,0.53,1.0,5.0,0.2,0.09356966199505357,2.92,0.11434460016488046
2024-08-23,2024-08-13,cava,Put,1,75.0,81.88,3.28,1.0,65.0,0.015384615384615385,-0.12408402540302879,13.86,0.16080850024425988
2024-08-23,2024-08-13,cava,Call,1,88.0,81.88,4.6,3.0,12.0,0.25,0.13092330239374694,13.86,0.16080850024425988
